name,description,duration_minutes,calories_burned_per_minute,goal_slug,level_slug,home_gym,youtube_link,thumbnail
Advanced HIIT Ladder,"High-intensity intervals with burpees, sprints, and jump squats",18,15,weight_loss,advanced,both,https://www.youtube.com/results?search_query=Advanced+HIIT+ladder+workout+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/f742e5f2299ca97834183977aa46c42610261a06.jpg
Agility Ladder,Foot speed & cardio,15,10,weight_loss,intermediate,both,https://www.youtube.com/results?search_query=Agility+Ladder+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/2b826162c89d63b958fd253b9ef5013db6cac1e6.jpg
Barbell Curls,Biceps isolation,10,6.5,muscle_gain,beginner,gym,https://www.youtube.com/results?search_query=Barbell+Curls+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/be67fd4fe75d17425ddb78ffc549221c4b7b3a74.jpg
Battle Ropes,Cardio & arms,15,14.5,weight_loss,advanced,gym,https://youtu.be/YX7fFbItFbY,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/d97bf82b16aadb80027e7423aa7712a7fb2f63d3.jpg
Bear Crawls,Full-body mobility,10,9,general_fitness,intermediate,home,https://www.youtube.com/results?search_query=Bear+Crawls+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/ee1084b4f5704931332411ba7ce5f3a89d0894e7.jpg
Beginner Home Cardio Circuit,"Mix of jumping jacks, high knees, and walking in place",20,10,weight_loss,beginner,home,https://www.youtube.com/results?search_query=Beginner+home+cardio+circuit+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/edf2bf298e6bd0e8ad55259f9d63d9145f15ce64.jpg
Bench Press,Chest strength,20,8.5,muscle_gain,intermediate,gym,https://www.youtube.com/results?search_query=Bench+Press+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/421d702747a34d94580f86c85bbd9077f1160e73.jpg
Bent-Over Rows,Back & biceps,20,9.2,muscle_gain,intermediate,gym,https://www.youtube.com/results?search_query=Bent-Over+Rows+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e1649ae81e79cda4c745f26401ed84a73f990b50.jpg
Bodyweight Squats,Lower body strength,15,9.5,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Bodyweight+Squats+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/f5a7dc1de9e15540e294874517e92a12516cb47c.jpg
Box Jumps,Explosive power,10,16,general_fitness,advanced,gym,https://youtu.be/52r_Ul5k03g,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/4d6082bc9dcf102cad2eb9216c9aceabbca9fbd5.jpg
Burpees Blast,Full-body HIIT cardio,15,14.2,weight_loss,intermediate,home,https://youtu.be/dZgVxmf6jkA,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/0f8ade2c8333e83782dd6777309d357da91ce3b8.jpg
Cardio Kick Session,"Punches, knees, and kicks in sequence",20,11.5,weight_loss,intermediate,both,https://www.youtube.com/results?search_query=Cardio+Kick+Session+%235+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/6b089b595788c4f4fd1fa2e154b5ac8ffa4a4f21.jpg
Cardio Kick Session ,"Punches, knees, and kicks in sequence",20,11.5,weight_loss,intermediate,both,https://www.youtube.com/results?search_query=Cardio+Kick+Session+%2315+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/6b089b595788c4f4fd1fa2e154b5ac8ffa4a4f21.jpg
Chair Dips,Triceps at home,8,6,muscle_gain,beginner,home,https://www.youtube.com/results?search_query=Chair+Dips+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/7f6357a26f1f32e31d8de71f22a0eee5ea78193e.jpg
Climbing Stairs,Leg & cardio,15,12,weight_loss,beginner,both,https://www.youtube.com/results?search_query=Climbing+Stairs+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/f9f55cdba315c8561922af388224569e5809c96d.jpg
Core & Glutes Focus,"Glute bridges, donkey kicks, and plank variations",20,7,general_fitness,intermediate,home,https://www.youtube.com/results?search_query=Core+and+glutes+workout+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/bb699ab216c240dc15c853acc0fe4a2d61a52e18.jpg
Core Stability Flow,"Planks, dead bugs, and bird-dogs",14,6,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Core+Stability+Flow+%234+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/4c98a3757a2c1a199d0fc0573b3c573a5de06b80.jpg
Core Stability Flow ,"Planks, dead bugs, and bird-dogs",14,6,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Core+Stability+Flow+%2324+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/4c98a3757a2c1a199d0fc0573b3c573a5de06b80.jpg
CrossFit WOD,High intensity mixed,20,16,weight_loss,advanced,gym,https://www.youtube.com/results?search_query=CrossFit+WOD+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/1c2ccfb187f33d32441ba10853da3698b7936440.jpg
Cycling Outdoors,Outdoor biking,45,9,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Cycling+Outdoors+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/70e9b6e24cc2008624f5461fdc7724df2bf7854d.jpg
Deadlifts,Strength – posterior chain,20,9,muscle_gain,intermediate,gym,https://youtu.be/op9kVnSso6Q,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/6a554a841d2931a578dbce8923601793a3ad427e.jpg
Desk Break Mobility,Short mobility routine for sitting relief,10,4.2,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Desk+Break+Mobility+%237+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/430342378ea588fe72e8d4a40d032021e826ef4b.jpg
Desk Break Mobility ,Short mobility routine for sitting relief,10,4.2,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Desk+Break+Mobility+%2317+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/430342378ea588fe72e8d4a40d032021e826ef4b.jpg
Donkey Kicks,Glute isolation,10,5,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Donkey+Kicks+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/2f54d8d70fbd2df4104c276a8014fa0d6ebdd9a0.jpg
Dumbbell Shoulder Press,Deltoids,15,7.8,muscle_gain,intermediate,gym,https://www.youtube.com/results?search_query=Dumbbell+Shoulder+Press+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/2af5531d30f33ed48301d3eed75ae498c2548309.jpg
Evening Relax Yoga,Gentle yoga flow to unwind,25,4.5,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Evening+Relax+Yoga+%238+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/3e404201a58bcdbd7976fe14909640058e67b4fd.jpg
Evening Relax Yoga ,Gentle yoga flow to unwind,25,4.5,general_fitness,beginner,home,https://www.youtube.com/results?search_query=Evening+Relax+Yoga+%2328+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/3e404201a58bcdbd7976fe14909640058e67b4fd.jpg
Full-Body Dumbbell,Total body strength,25,9,muscle_gain,intermediate,gym,https://www.youtube.com/results?search_query=Full-Body+Dumbbell+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e8f8cc1874340230511d304498521c835e21b5ef.jpg
Full-Body Tabata,Timed high-intensity intervals for full body,16,14,weight_loss,advanced,both,https://www.youtube.com/results?search_query=Full-Body+Tabata+%233+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/f58246c7bc8486441458799c771b9715f5ca9691.jpg
Full-Body Tabata #43,Timed high-intensity intervals for full body,16,14,weight_loss,advanced,both,https://www.youtube.com/results?search_query=Full-Body+Tabata+%2343+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/95089cad370a368d32da068ac032dc56a32a72e7.jpg
Glute Bridge Circuit,Booty workout,15,7.5,muscle_gain,beginner,home,https://www.youtube.com/results?search_query=Glute+Bridge+Circuit+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/1f90af497fd1dd427601f0c52ef0b481a61d31e7.jpg
High Knees,Cardio warm-up,10,11,weight_loss,beginner,home,https://www.youtube.com/results?search_query=High+Knees+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/d89c83fd0c5cf31ba13169a304538bf3edb44430.jpg
HIIT Abs,Core HIIT,15,13,weight_loss,intermediate,home,https://www.youtube.com/results?search_query=HIIT+Abs+workout,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/1e0fef7b588f0a61d0044d91ee0f599788571ed8.jpg
