name,description,total_calories,protein_g,carbs_g,fats_g,goal_slug,meal_type_slug,category,youtube_link,thumbnail
Evening Snack & Sprouts Chaat,"1 bowl mixed sprouts, onion, tomato, chaat masala",160,10,25,2,weight_loss,snack,veg,https://www.youtube.com/results?search_query=Evening+Snack+%E2%80%93+Sprouts+Chaat+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/27154e96b27742b82f6cc37aaa9e71c5ff0ca06c.jpg
Fruit Chaat with Yogurt,"1 plate mixed fruits, 50g hung curd",180,5,35,3,general_fitness,snack,veg,https://www.youtube.com/results?search_query=Fruit+Chaat+with+Yogurt+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/b9902bebfe15035f7fe1ab619e1cb3111e885853.jpg
Makhana (Fox Nuts) Roasted,1 bowl roasted makhana with spices,180,6,28,5,weight_loss,snack,veg,https://www.youtube.com/results?search_query=Makhana+%28Fox+Nuts%29+Roasted+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/adc0bbde8348598adc2f5562c2bf4ea5aabc2f6f.jpg
Vegetable Soup with Bread Stick,"1 bowl mixed vegetable soup, 1 bread stick",180,5,30,4,weight_loss,snack,veg,https://www.youtube.com/results?search_query=Vegetable+Soup+with+Bread+Stick+Indian+healthy+recipe,� (no specific image found)
Dhokla (4 pieces) with Green Chutney,"4 pieces khaman dhokla, coriander chutney",200,8,30,6,weight_loss,snack,veg,https://www.youtube.com/results?search_query=Dhokla+%284+pieces%29+with+Green+Chutney+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/d56b195cfbc3710ecd14a5a6de821f7d0e72c33a.jpg
Egg White Omelette with Toast,"3 egg white omelette, 1 whole wheat toast",200,18,18,5,muscle_gain,snack,non-veg,https://www.youtube.com/results?search_query=Egg+White+Omelette+with+Toast+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/e6b922e6bd7889f7bff7ce1f21bfd887174c6336.jpg
Boiled Egg Chaat,"Chopped boiled eggs with onion, tomato, masala",220,16,8,12,muscle_gain,snack,non-veg,https://www.youtube.com/results?search_query=Boiled+Egg+Chaat+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/0ab59724650e7a6e5abab28e0df95dca9a13014f.jpg
Roasted Chana with Jaggery,"1 bowl roasted black chana, small piece jaggery",220,10,38,3,general_fitness,snack,veg,https://www.youtube.com/results?search_query=Roasted+Chana+with+Jaggery+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/75a07ceb03c8c2f8172911340c5fb48711b59cce.jpg
Bhel Puri (minimal chutney),"1 plate bhel puri (puffed rice, veggies)",230,5,42,7,weight_loss,snack,veg,https://www.youtube.com/results?search_query=Bhel+Puri+%28minimal+chutney%29+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/c4965aeb0219773d15889fb79f43ab4ee9501060.jpg
Hummus with Carrot & Cucumber Sticks,Hummus served with veggie sticks,230,8,20,12,weight_loss,snack,veg,https://www.youtube.com/results?search_query=Hummus+with+Carrot+%26+Cucumber+Sticks+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/1de1c58bde453beef1f5c3b61415f7805699848a.jpg
Fruit & Nut Trail Mix,Small bowl of mixed dry fruits and seeds,260,8,20,16,general_fitness,snack,veg,https://www.youtube.com/results?search_query=Fruit+%26+Nut+Trail+Mix+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/a61cafa2d9a13d947fa079c219844ecfac687bcb.jpg
Paneer Tikka (4 pieces) with Salad,"4 grilled paneer cubes, bell pepper, onion",260,18,10,16,muscle_gain,snack,veg,https://www.youtube.com/results?search_query=Paneer+Tikka+%284+pieces%29+with+Salad+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/c49b3a3e470b58e332fb3606e1e0a0ff77267546.jpg
Masala Oats with Vegetables,Oats cooked with mixed vegetables and spices,280,10,42,7,weight_loss,breakfast,veg,https://www.youtube.com/results?search_query=Masala+Oats+with+Vegetables+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/342d10fe915e38a8fd18d932542faf77ff59039c.jpg
Poha & Tea,"Poha (1 cup), 1 cup tea without sugar",280,6,45,6,weight_loss,breakfast,veg,https://www.youtube.com/results?search_query=Poha+%26+Tea+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/8298be301b74434e340d77f5af873bb997d5d7ae.jpg
Oats Upma with Veggies,"Oats cooked with peas, carrots, onions (1 bowl)",290,8,40,10,weight_loss,breakfast,veg,https://www.youtube.com/results?search_query=Oats+Upma+with+Veggies+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/bda05fd6b0cf759fa0810f971e7161f3fc128f32.jpg
Vegetable Poha with Peanuts,Poha cooked with veggies and peanuts,300,8,50,8,general_fitness,breakfast,veg,https://www.youtube.com/results?search_query=Vegetable+Poha+with+Peanuts+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/5cbe9e12ee2534c4955ec4d033e2054716fb5ac1.jpg
Mixed Fruit & Yogurt Bowl,"1 apple, 1 banana, 100g yogurt, 1 tbsp seeds",310,9,50,8,general_fitness,breakfast,veg,https://www.youtube.com/results?search_query=Mixed+Fruit+%26+Yogurt+Bowl+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/2d094fec6888dc48a0b55ef1bb34d8c46b8fb3b7.jpg
Greek Yogurt Bowl with Fruits,Greek yogurt topped with fruits and seeds,320,14,45,10,general_fitness,breakfast,veg,https://www.youtube.com/results?search_query=Greek+Yogurt+Bowl+with+Fruits+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/a6152f601cd2af873fd1c9bc7f38e374231a6d98.jpg
Moong Dal Cheela with Green Chutney,2 moong dal cheelas with coriander chutney,320,16,40,8,weight_loss,breakfast,veg,https://www.youtube.com/results?search_query=Moong+Dal+Cheela+with+Green+Chutney+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/384d4c040e705358da971f1ee1bceb96d31bc6ba.jpg
Vegetable Upma,"Semolina cooked with vegetables, coconut garnish",320,7,48,10,general_fitness,breakfast,veg,https://www.youtube.com/results?search_query=Vegetable+Upma+Indian+healthy+recipe,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/c4c7290e2e91652e4bff2c7cb8f9ef692f6a431b.jpg
