name,sanskrit_name,level,type,description,duration_minutes,calories_burned_per_minute,goal_slug,youtube_link,thumbnail
Lotus Pose,Padmasana,intermediate,seated,Lotus Pose (Padmasana) is a intermediate seated pose that is calming,10,2,maintenance,https://www.youtube.com/results?search_query=Padmasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960359/my_json_uploads/lotus-posepadmasana.jpg
Easy Pose,Sukhasana,beginner,seated,Easy Pose (Sukhasana) is a beginner seated pose that is calming,10,2,maintenance,https://www.youtube.com/results?search_query=Sukhasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/easy-posesukhasana.jpg
Bound Angle Pose,Baddha Konasana,beginner,seated,Bound Angle Pose (Baddha Konasana) is a beginner seated pose that is grounding,8,2.5,maintenance,https://www.youtube.com/results?search_query=Baddha+Konasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/bound-angle-posebaddha-konasana.jpg
Cow Face Pose,Gomukhasana,intermediate,seated,Cow Face Pose (Gomukhasana) is a intermediate seated pose that is grounding,8,2.5,maintenance,https://www.youtube.com/results?search_query=Gomukhasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/cow-face-posegomukhasana.jpg
Hero Pose,Virasana,beginner,seated,Hero Pose (Virasana) is a beginner seated pose that is calming,8,2.2,maintenance,https://www.youtube.com/results?search_query=Virasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/hero-posevirasana.jpg
Staff Pose,Dandasana,beginner,seated,Staff Pose (Dandasana) is a beginner seated pose that is grounding,7,3.5,muscle_gain,https://www.youtube.com/results?search_query=Dandasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/staff-posedandasana.jpg
Heron Pose,Krounchasana,intermediate,seated,Heron Pose (Krounchasana) is a intermediate seated pose that is calming,8,4,muscle_gain,https://www.youtube.com/results?search_query=Krounchasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/heron-posekrounchasana.jpg
Diamond Pose,Vajrasana,beginner,seated,Diamond Pose (Vajrasana) is a beginner seated pose that is calming,10,2,maintenance,https://www.youtube.com/results?search_query=Vajrasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960364/my_json_uploads/diamond-posevajrasana.jpg
Boat Pose,Navasana,intermediate,seated,Boat Pose (Navasana) is a intermediate seated pose that is energizing,7,6.5,weight_loss,https://www.youtube.com/results?search_query=Navasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/boat-posenavasana.jpg
Compass Pose,Surya Yantrasana,intermediate,seated,Compass Pose (Surya Yantrasana) is a intermediate seated pose that is energizing,8,5.5,muscle_gain,https://www.youtube.com/results?search_query=Surya+Yantrasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/compass-posesurya-yantrasana.jpg
Monkey pose,Hanumanasana,advanced,seated,Monkey pose (Hanumanasana) is a advanced seated pose that is grounding,8,4.5,muscle_gain,https://www.youtube.com/results?search_query=Hanumanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960360/my_json_uploads/monkey-posehanumanasana.jpg
Half Pigeon Pose,Ardha Kapotasana,intermediate,seated,Half Pigeon Pose (Ardha Kapotasana) is a intermediate seated pose that is grounding,9,2.5,maintenance,https://www.youtube.com/results?search_query=Ardha+Kapotasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/half-pigeon-poseardha-kapotasana.jpg
Triangle Pose,Utthita Trikonasana,beginner,standing,Triangle Pose (Utthita Trikonasana) is a beginner standing pose that is energizing,8,4.5,muscle_gain,https://www.youtube.com/results?search_query=Utthita+Trikonasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/triangle-poseutthita-trikonasana.jpg
Revolved Triangle Pose,Parivrtta Trikonasana,intermediate,standing,Revolved Triangle Pose (Parivrtta Trikonasana) is a intermediate standing pose that is energizing,8,5.5,weight_loss,https://www.youtube.com/results?search_query=Parivrtta+Trikonasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/revolved-triangle-poseparivrtta-trikonasana.jpg
Mountain Pose,Tadasana/Samasthiti,beginner,standing,Mountain Pose (Tadasana/Samasthiti) is a beginner standing pose that is grounding,7,2,maintenance,https://www.youtube.com/results?search_query=Tadasana%2FSamasthiti+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/mountain-posetadasana-in-sanskrit.jpg
Upward Salute,Urdhva Hastasana,beginner,standing,Upward Salute (Urdhva Hastasana) is a beginner standing pose that is energizing,7,2.5,maintenance,https://www.youtube.com/results?search_query=Urdhva+Hastasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/upward-saluteurdhva-hastasana.jpg
Half Standing Forward Bend,Ardha Uttanasana,beginner,standing,Half Standing Forward Bend (Ardha Uttanasana) is a beginner standing pose that is energizing,7,3,maintenance,https://www.youtube.com/results?search_query=Ardha+Uttanasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/half-standing-forward-bend-poseardha-uttanasana.jpg
Chair Pose,Utkatasana,beginner,standing,Chair Pose (Utkatasana) is a beginner standing pose that is energizing,8,6,weight_loss,https://www.youtube.com/results?search_query=Utkatasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/chair-poseutkatasana.jpg
Warrior 1,Virabhadrasana I,beginner,standing,Warrior 1 (Virabhadrasana I) is a beginner standing pose that is energizing,9,5,muscle_gain,https://www.youtube.com/results?search_query=Virabhadrasana+I+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/warrior-1virabhadrasana.jpg
Warrior 2,Virabhadrasana II,beginner,standing,Warrior 2 (Virabhadrasana II) is a beginner standing pose that is grounding,9,5,muscle_gain,https://www.youtube.com/results?search_query=Virabhadrasana+II+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960361/my_json_uploads/warrior-2virabhadrasana-ii.jpg
Extended Side Angle Pose,Utthita Parsvakonasana,beginner,standing,Extended Side Angle Pose (Utthita Parsvakonasana) is a beginner standing pose that is energizing,8,5.5,weight_loss,https://www.youtube.com/results?search_query=Utthita+Parsvakonasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960362/my_json_uploads/extended-side-angle-poseutthita-parsvakonasana.jpg
Tree Pose,Vrksasana,beginner,standing,Tree Pose (Vrksasana) is a beginner standing pose that is grounding,8,3,maintenance,https://www.youtube.com/results?search_query=Vrksasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960362/my_json_uploads/tree-posevrksasana.jpg
Extended Hand To Big Toe A,Utthita Hasta Padangusthasana A,intermediate,standing,Extended Hand To Big Toe A (Utthita Hasta Padangusthasana A) is a intermediate standing pose that is balancing,8,4.5,muscle_gain,https://www.youtube.com/results?search_query=Utthita+Hasta+Padangusthasana+A+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960362/my_json_uploads/extended-hand-to-big-toe-a-poseutthita-hasta-padangustasana-a.jpg
Extended Hand To Big Toe B,Utthita Hasta Padangusthasana B,intermediate,standing,Extended Hand To Big Toe B (Utthita Hasta Padangusthasana B) is a intermediate standing pose that is balancing,8,4.5,muscle_gain,https://www.youtube.com/results?search_query=Utthita+Hasta+Padangusthasana+B+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960363/my_json_uploads/extended-hand-to-big-toe-b-poseutthita-hasta-padangustasana-b.jpg
Half Moon Pose,Ardha Chandrasana,intermediate,standing,Half Moon Pose (Ardha Chandrasana) is a intermediate standing pose that is balancing,8,5,muscle_gain,https://www.youtube.com/results?search_query=Ardha+Chandrasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960362/my_json_uploads/half-moon-poseardha-chandrasana-in-sanskrit.jpg
Eagle Pose,Garudasana,intermediate,standing,Eagle Pose (Garudasana) is a intermediate standing pose that is balancing,8,3.5,maintenance,https://www.youtube.com/results?search_query=Garudasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960362/my_json_uploads/eagle-posegarudasana.jpg
Lord Shiva's Pose,Natarajasana,intermediate,standing,Lord Shiva's Pose (Natarajasana) is a intermediate standing pose that is balancing,8,5,muscle_gain,https://www.youtube.com/results?search_query=Natarajasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960363/my_json_uploads/lord-shivas-posenatarajasana.jpg
Bound Side Angle Pose,Baddha Parsvakonasana,intermediate,standing,Bound Side Angle Pose (Baddha Parsvakonasana) is a intermediate standing pose that is energizing,8,6,weight_loss,https://www.youtube.com/results?search_query=Baddha+Parsvakonasana+yoga+pose,https://res.cloudinary.com/dalrbwtiz/image/upload/v1783960362/my_json_uploads/bound-side-angle-pose-baddha-parsvakonasana.jpg
